,b,b+E,b+D,b+V,b+V+D,b+E+D,b+E+V,b+E+D+V
1997-05-01,0.011,0.000,0.226,0.064,0.199,0.061,0.015,0.043
1997-06-01,0.018,0.000,0.004,0.001,0.009,0.002,0.000,0.005
1997-07-01,0.006,0.014,0.006,0.000,0.009,0.015,0.017,0.022
1997-08-01,0.001,0.001,0.025,0.000,0.031,0.000,0.006,0.000
1997-09-01,0.032,0.032,0.004,0.006,0.003,0.000,0.017,0.003
1997-10-01,0.014,0.003,0.029,0.005,0.082,0.016,0.008,0.009
1997-11-01,0.078,0.112,0.000,0.048,0.001,0.027,0.100,0.051
1997-12-01,0.018,0.031,0.017,0.004,0.008,0.000,0.020,0.004
1998-01-01,0.719,0.130,0.519,0.425,0.447,0.161,0.039,0.074
1998-02-01,0.233,0.205,0.076,0.081,0.058,0.102,0.069,0.063
1998-03-01,0.089,0.152,0.009,0.018,0.000,0.054,0.056,0.033
1998-04-01,0.103,0.119,0.023,0.027,0.021,0.045,0.047,0.045
1998-05-01,0.082,0.020,0.021,0.016,0.015,0.008,0.003,0.005
1998-06-01,0.320,0.054,0.212,0.106,0.162,0.059,0.002,0.020
1998-07-01,0.185,0.075,0.102,0.111,0.049,0.046,0.046,0.028
1998-08-01,0.277,0.000,0.272,0.296,0.076,0.008,0.016,0.002
1998-09-01,0.881,0.002,0.998,1.100,0.968,0.029,0.032,0.044
1998-10-01,0.261,0.050,0.443,0.470,0.621,0.183,0.172,0.211
1998-11-01,0.027,0.090,0.000,0.029,0.004,0.122,0.042,0.054
1998-12-01,0.066,0.247,0.013,0.112,0.042,0.215,0.116,0.132
1999-01-01,0.017,0.179,0.043,0.009,0.015,0.158,0.148,0.131
1999-02-01,0.000,0.396,0.001,0.004,0.014,0.244,0.335,0.263
1999-03-01,0.054,0.041,0.022,0.063,0.021,0.030,0.037,0.006
1999-04-01,0.036,0.000,0.010,0.046,0.000,0.061,0.000,0.017
1999-05-01,0.415,0.015,0.130,0.447,0.199,0.004,0.016,0.000
1999-06-01,0.780,0.059,0.328,0.850,0.370,0.024,0.072,0.026
1999-07-01,0.084,0.051,0.100,0.143,0.157,0.001,0.027,0.006
1999-08-01,0.287,0.013,0.233,0.335,0.263,0.031,0.014,0.015
1999-09-01,0.157,0.049,0.000,0.111,0.002,0.006,0.009,0.005
1999-10-01,0.629,0.148,0.329,0.676,0.370,0.062,0.123,0.074
1999-11-01,0.227,0.005,0.083,0.271,0.139,0.001,0.004,0.000
1999-12-01,1.374,0.008,0.890,1.343,1.041,0.009,0.004,0.004
2000-01-01,1.142,0.004,0.684,1.039,0.769,0.001,0.000,0.001
2000-02-01,1.015,0.307,0.621,0.739,0.639,0.243,0.121,0.165
2000-03-01,0.702,0.140,0.547,0.549,0.565,0.143,0.040,0.083
2000-04-01,0.208,0.002,0.137,0.231,0.193,0.005,0.009,0.011
2000-05-01,0.188,0.004,0.166,0.189,0.208,0.000,0.015,0.006
