,b,b+E,b+D,b+V,b+V+D,b+E+D,b+E+V,b+E+D+V
1997-05-01,0.016,0.000,0.271,0.076,0.263,0.084,0.024,0.076
1997-06-01,0.012,0.000,0.009,0.000,0.018,0.009,0.003,0.017
1997-07-01,0.007,0.010,0.005,0.000,0.008,0.021,0.020,0.032
1997-08-01,0.000,0.008,0.012,0.001,0.023,0.000,0.009,0.000
1997-09-01,0.027,0.031,0.006,0.005,0.006,0.000,0.011,0.000
1997-10-01,0.013,0.004,0.031,0.006,0.110,0.020,0.005,0.027
1997-11-01,0.081,0.123,0.000,0.056,0.000,0.028,0.098,0.036
1997-12-01,0.023,0.041,0.013,0.008,0.009,0.000,0.021,0.001
1998-01-01,0.774,0.122,0.567,0.480,0.513,0.142,0.025,0.055
1998-02-01,0.288,0.248,0.104,0.122,0.088,0.116,0.079,0.071
1998-03-01,0.133,0.201,0.024,0.044,0.003,0.069,0.072,0.041
1998-04-01,0.141,0.154,0.041,0.055,0.043,0.053,0.058,0.054
1998-05-01,0.093,0.022,0.027,0.025,0.023,0.006,0.001,0.003
1998-06-01,0.361,0.050,0.244,0.135,0.212,0.054,0.000,0.020
1998-07-01,0.227,0.089,0.143,0.154,0.076,0.051,0.047,0.029
1998-08-01,0.332,0.000,0.357,0.370,0.105,0.009,0.011,0.000
1998-09-01,0.982,0.007,1.165,1.250,1.124,0.019,0.015,0.022
1998-10-01,0.187,0.020,0.429,0.402,0.600,0.137,0.105,0.133
1998-11-01,0.036,0.105,0.001,0.028,0.001,0.178,0.055,0.069
1998-12-01,0.058,0.339,0.002,0.083,0.015,0.370,0.204,0.229
1999-01-01,0.033,0.255,0.085,0.029,0.045,0.263,0.226,0.208
1999-02-01,0.001,0.435,0.002,0.004,0.017,0.318,0.384,0.297
1999-03-01,0.083,0.065,0.022,0.087,0.036,0.034,0.056,0.011
1999-04-01,0.061,0.000,0.009,0.066,0.000,0.092,0.000,0.035
1999-05-01,0.542,0.023,0.148,0.554,0.193,0.023,0.017,0.006
1999-06-01,0.966,0.075,0.377,1.013,0.387,0.004,0.077,0.005
1999-07-01,0.161,0.025,0.170,0.235,0.249,0.002,0.011,0.006
1999-08-01,0.454,0.042,0.350,0.497,0.385,0.036,0.037,0.024
1999-09-01,0.289,0.106,0.009,0.212,0.013,0.004,0.033,0.002
1999-10-01,0.916,0.231,0.478,0.942,0.485,0.064,0.182,0.078
1999-11-01,0.419,0.035,0.164,0.459,0.222,0.001,0.026,0.000
1999-12-01,1.780,0.016,1.085,1.677,1.228,0.000,0.004,0.000
2000-01-01,1.502,0.009,0.858,1.331,0.928,0.002,0.000,0.007
2000-02-01,1.316,0.365,0.759,0.948,0.789,0.221,0.144,0.175
2000-03-01,0.970,0.182,0.717,0.746,0.744,0.128,0.054,0.100
2000-04-01,0.339,0.000,0.223,0.350,0.282,0.009,0.003,0.010
2000-05-01,0.320,0.000,0.270,0.300,0.308,0.000,0.003,0.002
2000-06-01,0.013,0.049,0.023,0.003,0.040,0.001,0.001,0.004
2000-07-01,0.032,0.040,0.002,0.003,0.001,0.001,0.004,0.001
2000-08-01,0.162,0.084,0.046,0.066,0.023,0.037,0.021,0.023
2000-09-01,0.016,0.057,0.024,0.000,0.014,0.001,0.005,0.002
2000-10-01,0.000,0.019,0.124,0.043,0.103,0.014,0.005,0.013
2000-11-01,0.017,0.087,0.082,0.128,0.045,0.032,0.001,0.022
2000-12-01,0.152,0.050,0.415,0.407,0.457,0.000,0.001,0.002
2001-01-01,0.049,0.195,0.114,0.026,0.151,0.001,0.011,0.004
2001-02-01,0.480,0.228,0.009,0.135,0.041,0.003,0.041,0.032
2001-03-01,0.020,0.076,0.126,0.017,0.088,0.007,0.001,0.001
2001-04-01,1.018,0.110,0.040,0.244,0.024,0.023,0.006,0.024
2001-05-01,2.683,0.506,0.648,1.346,0.584,0.067,0.111,0.083
2001-06-01,1.780,0.020,0.474,0.963,0.424,0.020,0.010,0.014
2001-07-01,0.890,0.720,0.117,0.559,0.150,0.172,0.408,0.237
2001-08-01,0.310,0.473,0.036,0.111,0.052,0.189,0.208,0.198
