Date,Euro Dollar (ED04) 4th Contract; 1982 - present::Settle,
31-Mar-2001,95.455,
30-Apr-2001,95.32,
31-May-2001,95.53,
30-Jun-2001,95.105,
31-Jul-2001,95.895,
31-Aug-2001,96.215,
30-Sep-2001,96.675,
31-Oct-2001,97.335,
30-Nov-2001,96.945,
31-Dec-2001,96.345,
31-Jan-2002,96.465,
28-Feb-2002,96.765,
31-Mar-2002,95.485,
30-Apr-2002,96.325,
31-May-2002,96.5,
30-Jun-2002,96.615,
31-Jul-2002,97.545,
31-Aug-2002,97.79,
30-Sep-2002,98.02,
31-Oct-2002,98.17,
30-Nov-2002,97.855,
31-Dec-2002,98.225,
31-Jan-2003,98.23,
28-Feb-2003,98.52,
31-Mar-2003,98.35,
30-Apr-2003,98.53,
31-May-2003,98.75,
30-Jun-2003,98.575,
31-Jul-2003,98.1,
31-Aug-2003,98.08,
30-Sep-2003,98.375,
31-Oct-2003,97.945,
30-Nov-2003,97.835,
31-Dec-2003,97.84,
31-Jan-2004,97.95,
29-Feb-2004,98.27,
31-Mar-2004,98.135,
30-Apr-2004,97.325,
31-May-2004,97.125,
30-Jun-2004,96.63,
31-Jul-2004,96.87,
31-Aug-2004,97.34,
30-Sep-2004,96.99,
31-Oct-2004,97.12,
30-Nov-2004,96.61,
31-Dec-2004,96.44,
31-Jan-2005,96.305,
28-Feb-2005,95.975,
31-Mar-2005,95.62,
30-Apr-2005,95.94,
31-May-2005,96.055,
30-Jun-2005,95.995,
31-Jul-2005,95.57,
31-Aug-2005,95.86,
30-Sep-2005,95.385,
31-Oct-2005,95.155,
30-Nov-2005,95.14,
31-Dec-2005,95.205,
31-Jan-2006,95.11,
28-Feb-2006,94.92,
31-Mar-2006,94.795,
30-Apr-2006,94.79,
31-May-2006,94.605,
30-Jun-2006,94.49,
31-Jul-2006,94.76,
31-Aug-2006,94.93,
30-Sep-2006,95.125,
31-Oct-2006,95.135,
30-Nov-2006,95.215,
31-Dec-2006,95.05,
31-Jan-2007,94.855,
28-Feb-2007,95.13,
31-Mar-2007,95.275,
30-Apr-2007,95.19,
31-May-2007,94.775,
30-Jun-2007,94.835,
31-Jul-2007,95.18,
31-Aug-2007,95.445,
30-Sep-2007,95.675,
31-Oct-2007,95.69,
30-Nov-2007,96.495,
31-Dec-2007,96.63,
31-Jan-2008,97.435,
29-Feb-2008,97.79,
31-Mar-2008,97.815,
30-Apr-2008,96.995,
31-May-2008,96.675,
30-Jun-2008,96.47,
31-Jul-2008,96.74,
31-Aug-2008,96.915,
30-Sep-2008,96.875,
31-Oct-2008,97.385,
30-Nov-2008,98.035,
31-Dec-2008,98.585,
31-Jan-2009,98.45,
28-Feb-2009,98.455,
31-Mar-2009,98.7,
30-Apr-2009,98.675,
31-May-2009,98.915,
30-Jun-2009,98.455,
31-Jul-2009,98.63,
31-Aug-2009,98.905,
30-Sep-2009,98.635,
31-Oct-2009,98.85,
30-Nov-2009,99.23,
31-Dec-2009,98.47,
31-Jan-2010,99.01,
28-Feb-2010,99.195,
31-Mar-2010,98.82,
30-Apr-2010,98.9,
31-May-2010,98.875,
30-Jun-2010,99.06,
31-Jul-2010,99.375,
31-Aug-2010,99.44,
30-Sep-2010,99.42,
31-Oct-2010,99.54,
30-Nov-2010,99.295,
31-Dec-2010,99.27,
31-Jan-2011,99.34,
28-Feb-2011,99.39,
31-Mar-2011,99.145,
30-Apr-2011,99.385,
31-May-2011,99.51,
30-Jun-2011,99.385,
31-Jul-2011,99.43,
31-Aug-2011,99.515,
30-Sep-2011,99.42,
31-Oct-2011,99.44,
30-Nov-2011,99.345,
31-Dec-2011,99.245,
31-Jan-2012,99.5,
29-Feb-2012,99.465,
31-Mar-2012,99.45,
30-Apr-2012,99.47,
31-May-2012,99.37,
30-Jun-2012,99.45,
31-Jul-2012,99.61,
31-Aug-2012,99.585,

