"Table 1.1.3. Real Gross Domestic Product, Quantity Indexes                                                                                                                                                                                                "
"[Index numbers, 2005=100]                                                                                                                                                                                                                                 "
"Seasonally adjusted                                                                                 "
"Bureau of Economic Analysis"
"Downloaded on 3/6/2012 At 5:59:43 PM    Last Revised February 29, 2012 "
 Line ," ", 1947-I , 1947-II , 1947-III , 1947-IV , 1948-I , 1948-II , 1948-III , 1948-IV , 1949-I , 1949-II , 1949-III , 1949-IV , 1950-I , 1950-II , 1950-III , 1950-IV , 1951-I , 1951-II , 1951-III , 1951-IV , 1952-I , 1952-II , 1952-III , 1952-IV , 1953-I , 1953-II , 1953-III , 1953-IV , 1954-I , 1954-II , 1954-III , 1954-IV , 1955-I , 1955-II , 1955-III , 1955-IV , 1956-I , 1956-II , 1956-III , 1956-IV , 1957-I , 1957-II , 1957-III , 1957-IV , 1958-I , 1958-II , 1958-III , 1958-IV , 1959-I , 1959-II , 1959-III , 1959-IV , 1960-I , 1960-II , 1960-III , 1960-IV , 1961-I , 1961-II , 1961-III , 1961-IV , 1962-I , 1962-II , 1962-III , 1962-IV , 1963-I , 1963-II , 1963-III , 1963-IV , 1964-I , 1964-II , 1964-III , 1964-IV , 1965-I , 1965-II , 1965-III , 1965-IV , 1966-I , 1966-II , 1966-III , 1966-IV , 1967-I , 1967-II , 1967-III , 1967-IV , 1968-I , 1968-II , 1968-III , 1968-IV , 1969-I , 1969-II , 1969-III , 1969-IV , 1970-I , 1970-II , 1970-III , 1970-IV , 1971-I , 1971-II , 1971-III , 1971-IV , 1972-I , 1972-II , 1972-III , 1972-IV , 1973-I , 1973-II , 1973-III , 1973-IV , 1974-I , 1974-II , 1974-III , 1974-IV , 1975-I , 1975-II , 1975-III , 1975-IV , 1976-I , 1976-II , 1976-III , 1976-IV , 1977-I , 1977-II , 1977-III , 1977-IV , 1978-I , 1978-II , 1978-III , 1978-IV , 1979-I , 1979-II , 1979-III , 1979-IV , 1980-I , 1980-II , 1980-III , 1980-IV , 1981-I , 1981-II , 1981-III , 1981-IV , 1982-I , 1982-II , 1982-III , 1982-IV , 1983-I , 1983-II , 1983-III , 1983-IV , 1984-I , 1984-II , 1984-III , 1984-IV , 1985-I , 1985-II , 1985-III , 1985-IV , 1986-I , 1986-II , 1986-III , 1986-IV , 1987-I , 1987-II , 1987-III , 1987-IV , 1988-I , 1988-II , 1988-III , 1988-IV , 1989-I , 1989-II , 1989-III , 1989-IV , 1990-I , 1990-II , 1990-III , 1990-IV , 1991-I , 1991-II , 1991-III , 1991-IV , 1992-I , 1992-II , 1992-III , 1992-IV , 1993-I , 1993-II , 1993-III , 1993-IV , 1994-I , 1994-II , 1994-III , 1994-IV , 1995-I , 1995-II , 1995-III , 1995-IV , 1996-I , 1996-II , 1996-III , 1996-IV , 1997-I , 1997-II , 1997-III , 1997-IV , 1998-I , 1998-II , 1998-III , 1998-IV , 1999-I , 1999-II , 1999-III , 1999-IV , 2000-I , 2000-II , 2000-III , 2000-IV , 2001-I , 2001-II , 2001-III , 2001-IV , 2002-I , 2002-II , 2002-III , 2002-IV , 2003-I , 2003-II , 2003-III , 2003-IV , 2004-I , 2004-II , 2004-III , 2004-IV , 2005-I , 2005-II , 2005-III , 2005-IV , 2006-I , 2006-II , 2006-III , 2006-IV , 2007-I , 2007-II , 2007-III , 2007-IV , 2008-I , 2008-II , 2008-III , 2008-IV , 2009-I , 2009-II , 2009-III , 2009-IV , 2010-I , 2010-II , 2010-III , 2010-IV , 2011-I , 2011-II , 2011-III , 2011-IV 
  1 ,"    Gross domestic product", 14.028 , 14.006 , 13.995 , 14.207 , 14.433 , 14.698 , 14.777 , 14.800 , 14.594 , 14.541 , 14.704 , 14.566 , 15.155 , 15.616 , 16.227 , 16.513 , 16.721 , 16.999 , 17.337 , 17.367 , 17.542 , 17.561 , 17.679 , 18.263 , 18.604 , 18.745 , 18.631 , 18.336 , 18.249 , 18.272 , 18.478 , 18.848 , 19.391 , 19.711 , 19.975 , 20.086 , 19.995 , 20.152 , 20.126 , 20.455 , 20.581 , 20.531 , 20.729 , 20.511 , 19.956 , 20.078 , 20.549 , 21.028 , 21.453 , 21.995 , 21.969 , 22.046 , 22.540 , 22.435 , 22.472 , 22.184 , 22.315 , 22.733 , 23.100 , 23.570 , 23.993 , 24.258 , 24.482 , 24.542 , 24.863 , 25.174 , 25.648 , 25.843 , 26.423 , 26.727 , 27.090 , 27.165 , 27.832 , 28.210 , 28.782 , 29.477 , 30.200 , 30.301 , 30.500 , 30.747 , 31.018 , 31.025 , 31.272 , 31.511 , 32.160 , 32.706 , 32.930 , 33.072 , 33.593 , 33.691 , 33.904 , 33.745 , 33.692 , 33.753 , 34.054 , 33.693 , 34.622 , 34.818 , 35.096 , 35.194 , 35.823 , 36.672 , 37.024 , 37.634 , 38.596 , 39.043 , 38.835 , 39.205 , 38.861 , 38.961 , 38.575 , 38.424 , 37.956 , 38.246 , 38.891 , 39.399 , 40.294 , 40.597 , 40.796 , 41.092 , 41.569 , 42.395 , 43.154 , 43.145 , 43.292 , 44.995 , 45.436 , 46.037 , 46.114 , 46.158 , 46.489 , 46.617 , 46.767 , 45.809 , 45.724 , 46.569 , 47.537 , 47.158 , 47.731 , 47.136 , 46.363 , 46.614 , 46.434 , 46.471 , 47.049 , 48.106 , 49.055 , 50.069 , 51.040 , 51.921 , 52.426 , 52.853 , 53.351 , 53.803 , 54.644 , 55.058 , 55.587 , 55.811 , 56.349 , 56.621 , 56.935 , 57.540 , 58.040 , 59.033 , 59.338 , 60.100 , 60.410 , 61.217 , 61.792 , 62.254 , 62.748 , 62.885 , 63.542 , 63.794 , 63.793 , 63.234 , 62.928 , 63.353 , 63.620 , 63.869 , 64.570 , 65.256 , 65.930 , 66.623 , 66.746 , 67.173 , 67.526 , 68.418 , 69.084 , 70.029 , 70.480 , 71.263 , 71.438 , 71.591 , 72.193 , 72.696 , 73.194 , 74.460 , 75.107 , 75.927 , 76.511 , 77.646 , 78.620 , 79.223 , 79.972 , 80.691 , 81.756 , 83.171 , 83.912 , 84.568 , 85.643 , 87.181 , 87.409 , 89.114 , 89.189 , 89.717 , 89.422 , 90.009 , 89.760 , 90.074 , 90.844 , 91.327 , 91.790 , 91.821 , 92.204 , 92.986 , 94.516 , 95.371 , 95.999 , 96.617 , 97.336 , 98.133 , 99.145 , 99.586 , 100.377 , 100.892 , 102.166 , 102.581 , 102.594 , 103.292 , 103.432 , 104.362 , 105.125 , 105.569 , 105.101 , 105.447 , 104.468 , 102.064 , 100.319 , 100.145 , 100.567 , 101.509 , 102.494 , 103.450 , 104.093 , 104.699 , 104.792 , 105.140 , 105.614 , 106.392 
  2 ,"Personal consumption expenditures", 12.846 , 13.060 , 13.102 , 13.106 , 13.172 , 13.325 , 13.344 , 13.450 , 13.472 , 13.678 , 13.709 , 13.910 , 14.141 , 14.373 , 15.111 , 14.656 , 15.010 , 14.586 , 14.756 , 14.842 , 14.876 , 15.168 , 15.241 , 15.780 , 15.968 , 16.064 , 16.027 , 15.920 , 15.979 , 16.187 , 16.407 , 16.751 , 17.127 , 17.455 , 17.671 , 17.893 , 17.922 , 17.982 , 18.022 , 18.270 , 18.396 , 18.429 , 18.576 , 18.585 , 18.332 , 18.483 , 18.785 , 19.034 , 19.386 , 19.684 , 19.889 , 19.912 , 20.103 , 20.357 , 20.276 , 20.303 , 20.297 , 20.599 , 20.699 , 21.114 , 21.338 , 21.600 , 21.776 , 22.084 , 22.233 , 22.446 , 22.752 , 22.941 , 23.394 , 23.806 , 24.243 , 24.311 , 24.852 , 25.126 , 25.558 , 26.276 , 26.664 , 26.733 , 27.039 , 27.151 , 27.310 , 27.682 , 27.824 , 27.996 , 28.664 , 29.104 , 29.651 , 29.787 , 30.120 , 30.313 , 30.459 , 30.702 , 30.891 , 31.032 , 31.304 , 31.219 , 31.816 , 32.107 , 32.364 , 32.902 , 33.341 , 33.978 , 34.502 , 35.311 , 35.957 , 35.939 , 36.068 , 35.963 , 35.648 , 35.772 , 35.919 , 35.393 , 35.690 , 36.285 , 36.802 , 37.192 , 37.935 , 38.283 , 38.688 , 39.192 , 39.640 , 39.859 , 40.239 , 40.846 , 41.085 , 41.963 , 42.139 , 42.478 , 42.693 , 42.668 , 43.087 , 43.202 , 43.127 , 42.148 , 42.600 , 43.168 , 43.404 , 43.404 , 43.580 , 43.250 , 43.530 , 43.686 , 44.021 , 44.824 , 45.263 , 46.162 , 46.978 , 47.723 , 48.132 , 48.820 , 49.197 , 49.845 , 50.690 , 51.152 , 52.124 , 52.238 , 52.674 , 53.235 , 54.166 , 54.492 , 54.409 , 55.138 , 55.753 , 55.887 , 56.820 , 57.233 , 57.684 , 58.364 , 58.578 , 58.840 , 59.450 , 59.741 , 60.214 , 60.412 , 60.642 , 60.170 , 59.998 , 60.456 , 60.687 , 60.659 , 61.703 , 62.068 , 62.755 , 63.520 , 63.778 , 64.390 , 65.089 , 65.668 , 66.399 , 66.892 , 67.427 , 68.093 , 68.172 , 68.731 , 69.346 , 69.833 , 70.472 , 71.269 , 71.696 , 72.280 , 73.008 , 73.304 , 74.550 , 75.403 , 76.153 , 77.463 , 78.491 , 79.694 , 80.480 , 81.747 , 82.729 , 83.896 , 85.169 , 85.969 , 86.811 , 87.579 , 87.928 , 88.260 , 88.648 , 90.036 , 90.347 , 90.806 , 91.422 , 91.746 , 92.210 , 93.123 , 94.377 , 94.890 , 95.730 , 96.155 , 96.996 , 98.044 , 98.825 , 99.803 , 100.561 , 100.811 , 101.843 , 102.457 , 103.071 , 104.030 , 104.608 , 105.010 , 105.472 , 105.783 , 105.515 , 105.478 , 104.458 , 103.096 , 102.696 , 102.215 , 102.803 , 102.915 , 103.608 , 104.355 , 105.038 , 105.962 , 106.511 , 106.693 , 107.156 , 107.726 
  3 ,"  Goods", 13.203 , 13.440 , 13.530 , 13.580 , 13.600 , 13.724 , 13.710 , 13.800 , 13.779 , 14.081 , 14.153 , 14.469 , 14.749 , 14.906 , 16.022 , 15.178 , 15.512 , 14.725 , 14.887 , 15.007 , 14.935 , 15.270 , 15.254 , 16.025 , 16.236 , 16.268 , 16.131 , 16.033 , 16.023 , 16.179 , 16.350 , 16.806 , 17.322 , 17.810 , 18.058 , 18.186 , 18.105 , 18.078 , 18.003 , 18.261 , 18.432 , 18.365 , 18.519 , 18.374 , 17.935 , 17.990 , 18.329 , 18.683 , 19.117 , 19.420 , 19.573 , 19.414 , 19.609 , 19.883 , 19.756 , 19.637 , 19.451 , 19.745 , 19.874 , 20.316 , 20.554 , 20.756 , 20.915 , 21.242 , 21.441 , 21.618 , 21.835 , 21.909 , 22.416 , 22.888 , 23.422 , 23.250 , 24.007 , 24.181 , 24.676 , 25.627 , 26.109 , 25.979 , 26.353 , 26.298 , 26.366 , 26.825 , 26.746 , 26.851 , 27.706 , 28.121 , 28.810 , 28.763 , 29.148 , 29.169 , 29.221 , 29.326 , 29.374 , 29.457 , 29.638 , 29.318 , 30.259 , 30.508 , 30.704 , 31.244 , 31.536 , 32.370 , 32.933 , 33.899 , 34.709 , 34.374 , 34.385 , 34.044 , 33.489 , 33.384 , 33.492 , 32.132 , 32.365 , 33.056 , 33.872 , 34.103 , 35.101 , 35.524 , 35.837 , 36.272 , 36.666 , 36.936 , 37.233 , 38.027 , 37.814 , 38.899 , 38.931 , 39.370 , 39.340 , 39.008 , 39.657 , 39.489 , 39.289 , 37.670 , 38.057 , 38.490 , 39.043 , 38.731 , 39.122 , 38.423 , 38.808 , 38.799 , 39.005 , 39.792 , 40.000 , 41.179 , 42.093 , 43.084 , 43.667 , 44.641 , 44.669 , 45.367 , 46.067 , 46.488 , 47.727 , 47.442 , 48.163 , 49.019 , 50.538 , 50.506 , 49.473 , 50.421 , 51.179 , 50.721 , 51.918 , 52.188 , 52.178 , 53.005 , 53.079 , 53.378 , 54.147 , 53.967 , 54.691 , 54.105 , 53.978 , 53.127 , 52.671 , 52.966 , 53.285 , 52.695 , 53.888 , 54.163 , 54.755 , 55.480 , 55.695 , 56.587 , 57.172 , 57.900 , 58.881 , 59.404 , 59.956 , 61.103 , 60.799 , 61.209 , 61.950 , 62.535 , 63.036 , 64.265 , 64.722 , 65.507 , 66.391 , 66.340 , 68.075 , 69.005 , 69.541 , 71.369 , 72.458 , 74.671 , 75.597 , 77.386 , 78.318 , 79.680 , 80.896 , 81.340 , 82.208 , 82.942 , 83.159 , 83.398 , 84.025 , 87.088 , 86.914 , 87.328 , 88.451 , 88.701 , 89.300 , 90.947 , 93.368 , 93.945 , 94.926 , 95.138 , 96.303 , 97.584 , 98.656 , 100.017 , 100.786 , 100.541 , 102.277 , 102.633 , 103.502 , 104.875 , 105.555 , 106.055 , 106.845 , 107.121 , 105.599 , 105.719 , 103.615 , 100.171 , 100.190 , 99.597 , 101.430 , 101.555 , 103.139 , 104.100 , 105.333 , 107.452 , 108.700 , 108.272 , 108.646 , 109.957 
  4 ,"    Durable goods", 4.459 , 4.553 , 4.616 , 4.917 , 4.892 , 4.925 , 5.008 , 4.937 , 4.846 , 5.267 , 5.518 , 5.737 , 5.957 , 6.008 , 7.432 , 6.513 , 6.718 , 5.754 , 5.650 , 5.632 , 5.664 , 5.774 , 5.432 , 6.368 , 6.582 , 6.544 , 6.503 , 6.321 , 6.124 , 6.421 , 6.448 , 6.845 , 7.460 , 7.865 , 8.119 , 7.906 , 7.544 , 7.555 , 7.421 , 7.660 , 7.800 , 7.616 , 7.564 , 7.475 , 6.978 , 6.871 , 7.014 , 7.271 , 7.665 , 7.954 , 8.108 , 7.721 , 7.969 , 8.150 , 8.085 , 7.882 , 7.449 , 7.604 , 7.789 , 8.167 , 8.344 , 8.567 , 8.630 , 9.010 , 9.190 , 9.387 , 9.503 , 9.653 , 10.029 , 10.291 , 10.631 , 10.304 , 11.263 , 11.281 , 11.666 , 12.158 , 12.736 , 12.228 , 12.629 , 12.624 , 12.385 , 12.918 , 12.814 , 12.847 , 13.645 , 13.936 , 14.563 , 14.477 , 14.750 , 14.710 , 14.668 , 14.612 , 14.388 , 14.554 , 14.607 , 13.637 , 15.100 , 15.443 , 15.855 , 16.532 , 16.910 , 17.335 , 17.781 , 18.723 , 19.915 , 19.680 , 19.505 , 19.049 , 18.603 , 18.703 , 18.811 , 17.021 , 17.384 , 17.722 , 18.829 , 19.377 , 20.345 , 20.437 , 20.669 , 20.995 , 21.765 , 22.278 , 22.606 , 23.081 , 22.469 , 24.144 , 23.819 , 24.007 , 23.723 , 23.187 , 23.833 , 23.219 , 22.854 , 20.389 , 21.293 , 21.943 , 22.565 , 21.687 , 22.347 , 20.742 , 21.407 , 21.485 , 21.658 , 22.647 , 22.876 , 24.544 , 25.487 , 26.744 , 27.753 , 28.397 , 28.406 , 29.328 , 30.347 , 30.708 , 32.674 , 31.548 , 32.193 , 33.330 , 36.173 , 35.599 , 33.488 , 34.861 , 36.302 , 35.321 , 36.993 , 37.006 , 36.523 , 37.469 , 37.303 , 37.801 , 38.656 , 37.481 , 39.064 , 37.772 , 37.389 , 36.360 , 35.358 , 35.536 , 36.082 , 35.493 , 36.887 , 37.143 , 37.936 , 38.689 , 39.065 , 40.333 , 40.783 , 41.764 , 42.759 , 43.218 , 43.673 , 45.208 , 44.272 , 44.722 , 45.984 , 46.783 , 47.291 , 48.796 , 49.141 , 50.101 , 51.458 , 51.292 , 53.579 , 54.946 , 55.407 , 58.232 , 59.913 , 63.469 , 63.626 , 66.686 , 68.310 , 69.159 , 73.050 , 71.735 , 72.976 , 73.512 , 74.758 , 74.721 , 75.626 , 81.979 , 81.039 , 81.892 , 84.290 , 83.180 , 83.426 , 86.876 , 90.523 , 91.382 , 92.662 , 93.244 , 95.088 , 96.782 , 97.805 , 100.644 , 102.073 , 99.478 , 103.341 , 103.421 , 104.952 , 106.397 , 107.720 , 109.231 , 110.628 , 111.266 , 108.488 , 107.693 , 104.222 , 96.851 , 97.438 , 96.440 , 100.994 , 99.770 , 102.147 , 104.087 , 106.294 , 110.600 , 113.710 , 112.180 , 113.747 , 117.866 
  5 ,"    Nondurable goods", 21.725 , 22.097 , 22.199 , 21.908 , 21.980 , 22.195 , 22.059 , 22.346 , 22.431 , 22.492 , 22.294 , 22.658 , 22.947 , 23.213 , 23.614 , 23.090 , 23.515 , 23.172 , 23.660 , 23.937 , 23.738 , 24.290 , 24.717 , 25.079 , 25.235 , 25.351 , 25.118 , 25.154 , 25.396 , 25.328 , 25.647 , 26.079 , 26.350 , 26.836 , 27.017 , 27.565 , 27.876 , 27.806 , 27.824 , 28.047 , 28.217 , 28.324 , 28.717 , 28.529 , 28.273 , 28.529 , 29.050 , 29.449 , 29.832 , 30.080 , 30.195 , 30.381 , 30.457 , 30.790 , 30.610 , 30.631 , 30.813 , 31.226 , 31.249 , 31.674 , 31.937 , 32.065 , 32.314 , 32.495 , 32.673 , 32.784 , 33.084 , 33.042 , 33.608 , 34.249 , 34.919 , 34.986 , 35.320 , 35.658 , 36.191 , 37.534 , 37.807 , 38.165 , 38.440 , 38.333 , 38.764 , 39.052 , 39.016 , 39.193 , 39.964 , 40.455 , 41.099 , 41.108 , 41.565 , 41.656 , 41.812 , 42.092 , 42.453 , 42.427 , 42.731 , 43.230 , 43.407 , 43.506 , 43.417 , 43.713 , 43.857 , 45.043 , 45.663 , 46.526 , 46.806 , 46.410 , 46.628 , 46.444 , 45.821 , 45.517 , 45.615 , 44.801 , 44.887 , 45.881 , 46.330 , 46.217 , 47.154 , 47.878 , 48.245 , 48.753 , 48.721 , 48.717 , 48.959 , 50.010 , 50.224 , 50.611 , 51.003 , 51.661 , 51.889 , 51.789 , 52.395 , 52.672 , 52.646 , 51.933 , 51.806 , 52.009 , 52.468 , 52.701 , 52.818 , 53.020 , 53.118 , 53.027 , 53.253 , 53.800 , 53.974 , 54.609 , 55.440 , 56.115 , 56.258 , 57.488 , 57.532 , 57.974 , 58.329 , 58.783 , 59.267 , 59.795 , 60.553 , 61.092 , 61.219 , 61.717 , 61.798 , 62.270 , 62.321 , 62.397 , 63.069 , 63.571 , 64.010 , 64.677 , 64.969 , 65.068 , 65.721 , 66.465 , 66.379 , 66.452 , 66.560 , 65.892 , 65.923 , 66.310 , 66.421 , 65.851 , 66.831 , 67.112 , 67.512 , 68.189 , 68.257 , 68.800 , 69.481 , 69.964 , 70.900 , 71.462 , 72.077 , 72.843 , 73.104 , 73.463 , 73.724 , 74.104 , 74.584 , 75.542 , 76.080 , 76.696 , 77.162 , 77.205 , 78.448 , 78.999 , 79.583 , 80.566 , 81.160 , 82.270 , 83.790 , 84.576 , 84.979 , 86.719 , 85.971 , 87.688 , 88.285 , 89.147 , 88.627 , 89.051 , 89.482 , 90.256 , 90.623 , 90.740 , 90.997 , 92.149 , 92.966 , 93.436 , 95.063 , 95.464 , 96.265 , 96.258 , 97.017 , 98.057 , 99.163 , 99.658 , 100.051 , 101.128 , 101.677 , 102.185 , 102.690 , 104.018 , 104.343 , 104.307 , 104.789 , 104.896 , 104.028 , 104.614 , 103.177 , 101.634 , 101.380 , 100.996 , 101.499 , 102.268 , 103.468 , 103.962 , 104.733 , 105.839 , 106.249 , 106.306 , 106.160 , 106.261 
  6 ,"  Services", 11.757 , 11.927 , 11.901 , 11.839 , 11.966 , 12.154 , 12.219 , 12.342 , 12.420 , 12.483 , 12.457 , 12.495 , 12.650 , 12.970 , 13.171 , 13.254 , 13.616 , 13.708 , 13.880 , 13.915 , 14.087 , 14.307 , 14.497 , 14.704 , 14.854 , 15.032 , 15.124 , 15.012 , 15.152 , 15.414 , 15.682 , 15.872 , 16.058 , 16.176 , 16.342 , 16.668 , 16.828 , 16.989 , 17.168 , 17.392 , 17.459 , 17.609 , 17.738 , 17.933 , 17.916 , 18.175 , 18.419 , 18.530 , 18.769 , 19.048 , 19.304 , 19.537 , 19.714 , 19.933 , 19.909 , 20.102 , 20.304 , 20.600 , 20.662 , 21.026 , 21.225 , 21.542 , 21.728 , 22.002 , 22.089 , 22.330 , 22.721 , 23.031 , 23.403 , 23.729 , 24.039 , 24.368 , 24.645 , 25.018 , 25.360 , 25.791 , 26.059 , 26.343 , 26.560 , 26.850 , 27.099 , 27.361 , 27.734 , 27.968 , 28.406 , 28.853 , 29.226 , 29.550 , 29.814 , 30.180 , 30.420 , 30.797 , 31.124 , 31.319 , 31.673 , 31.833 , 32.051 , 32.373 , 32.680 , 33.193 , 33.761 , 34.174 , 34.638 , 35.257 , 35.712 , 36.011 , 36.252 , 36.389 , 36.334 , 36.689 , 36.869 , 37.241 , 37.588 , 38.054 , 38.238 , 38.776 , 39.229 , 39.488 , 39.969 , 40.522 , 41.005 , 41.164 , 41.610 , 42.010 , 42.681 , 43.324 , 43.634 , 43.862 , 44.308 , 44.584 , 44.762 , 45.148 , 45.199 , 44.894 , 45.391 , 46.070 , 45.985 , 46.289 , 46.250 , 46.287 , 46.457 , 46.762 , 47.202 , 47.992 , 48.622 , 49.243 , 49.949 , 50.458 , 50.707 , 51.134 , 51.801 , 52.391 , 53.338 , 53.822 , 54.546 , 54.985 , 55.175 , 55.487 , 55.935 , 56.538 , 57.205 , 57.748 , 58.240 , 58.835 , 59.545 , 60.060 , 60.858 , 61.412 , 61.728 , 61.958 , 62.437 , 63.081 , 63.356 , 64.146 , 64.639 , 64.461 , 64.505 , 65.076 , 65.237 , 65.624 , 66.542 , 66.969 , 67.714 , 68.499 , 68.783 , 69.188 , 69.960 , 70.427 , 70.976 , 71.441 , 71.961 , 72.286 , 72.630 , 73.287 , 73.809 , 74.226 , 74.953 , 75.451 , 75.854 , 76.301 , 76.921 , 77.443 , 78.364 , 79.162 , 80.042 , 81.018 , 82.003 , 82.574 , 83.271 , 84.213 , 85.224 , 86.269 , 87.574 , 88.591 , 89.413 , 90.197 , 90.621 , 91.006 , 91.251 , 91.657 , 92.251 , 92.738 , 93.063 , 93.428 , 93.811 , 94.312 , 94.921 , 95.399 , 96.164 , 96.707 , 97.372 , 98.293 , 98.917 , 99.689 , 100.439 , 100.955 , 101.612 , 102.362 , 102.841 , 103.582 , 104.107 , 104.457 , 104.750 , 105.081 , 105.465 , 105.344 , 104.884 , 104.576 , 103.958 , 103.524 , 103.493 , 103.599 , 103.853 , 104.496 , 104.912 , 105.250 , 105.453 , 105.941 , 106.449 , 106.647 
  7 ,"Gross private domestic investment", 8.686 , 7.986 , 7.730 , 9.332 , 10.343 , 11.025 , 11.143 , 10.588 , 8.941 , 7.690 , 8.364 , 7.907 , 9.891 , 10.998 , 11.988 , 13.581 , 12.149 , 12.450 , 11.488 , 10.509 , 10.755 , 9.862 , 10.387 , 11.132 , 11.353 , 11.392 , 11.124 , 10.248 , 10.162 , 10.127 , 10.645 , 11.135 , 12.322 , 13.101 , 13.288 , 13.576 , 13.120 , 12.971 , 12.819 , 12.667 , 12.463 , 12.446 , 12.743 , 11.679 , 10.811 , 10.555 , 11.426 , 12.456 , 13.159 , 14.258 , 13.266 , 13.730 , 15.215 , 13.675 , 13.594 , 11.915 , 12.219 , 13.129 , 14.229 , 14.469 , 15.332 , 15.184 , 15.455 , 14.936 , 15.765 , 15.995 , 16.517 , 16.720 , 17.407 , 17.327 , 17.739 , 17.884 , 19.683 , 19.682 , 20.385 , 20.479 , 22.211 , 21.805 , 21.589 , 21.693 , 21.099 , 20.199 , 20.779 , 21.229 , 21.691 , 22.568 , 21.835 , 22.062 , 23.515 , 23.328 , 23.867 , 22.582 , 21.875 , 21.943 , 22.318 , 21.026 , 23.756 , 24.492 , 24.814 , 24.038 , 25.738 , 27.313 , 27.702 , 27.846 , 29.614 , 30.998 , 29.786 , 30.926 , 28.952 , 28.809 , 27.184 , 27.442 , 22.622 , 21.836 , 23.686 , 24.337 , 26.857 , 28.002 , 28.054 , 28.249 , 29.639 , 31.930 , 33.670 , 32.719 , 33.368 , 35.659 , 36.760 , 37.596 , 37.590 , 37.503 , 36.773 , 36.089 , 35.827 , 32.595 , 30.110 , 33.172 , 36.468 , 34.732 , 36.888 , 35.457 , 31.763 , 31.735 , 31.365 , 28.572 , 29.589 , 32.445 , 34.626 , 38.272 , 42.278 , 43.704 , 44.720 , 43.986 , 42.536 , 43.270 , 42.792 , 44.465 , 44.373 , 43.389 , 42.028 , 42.094 , 43.380 , 43.440 , 43.484 , 46.875 , 44.234 , 45.310 , 45.601 , 46.205 , 47.975 , 47.415 , 46.858 , 46.377 , 46.833 , 46.846 , 45.744 , 42.851 , 41.106 , 40.900 , 41.918 , 43.523 , 42.555 , 45.358 , 45.827 , 47.277 , 48.388 , 48.768 , 48.734 , 51.306 , 53.519 , 56.639 , 55.621 , 58.214 , 58.805 , 57.224 , 56.673 , 58.269 , 59.036 , 62.094 , 65.225 , 65.048 , 66.567 , 70.817 , 72.076 , 73.227 , 76.723 , 75.805 , 77.977 , 80.485 , 83.019 , 82.729 , 84.805 , 87.814 , 86.586 , 92.581 , 91.135 , 91.181 , 86.364 , 86.084 , 84.259 , 79.386 , 82.028 , 83.018 , 83.230 , 83.242 , 83.343 , 83.865 , 86.932 , 90.222 , 90.693 , 94.634 , 95.849 , 97.820 , 99.893 , 98.113 , 99.207 , 102.787 , 104.330 , 104.183 , 102.714 , 99.741 , 98.750 , 100.953 , 100.184 , 97.759 , 94.633 , 93.176 , 89.061 , 80.314 , 68.610 , 64.317 , 64.782 , 70.067 , 75.037 , 79.562 , 81.333 , 79.848 , 80.600 , 81.869 , 82.135 , 86.065 
